| age_category | gender | dependent_count | education     | marital  | income_category | card_category | years_on_book | total_relationship_count | months_inactive_12_mon | contacts_count_12_mon | credit_limit | total_revolving_bal | avg_open_to_buy | total_trans_amt | total_trans_ct | avg_utilization_ratio |
| 50s          | F      | 2               | Graduate      | Unknown  | Less than $40K  | Blue          | 4 - 5         | 4                        | 4                      | 3                     | 1438         | 0                   | 1438            | 1785            | 33             | 0                     |
| 40s          | F      | 3               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 1535         | 0                   | 1535            | 1921            | 41             | 0                     |
| 40s          | F      | 4               | College       | Married  | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 5997         | 0                   | 5997            | 1457            | 42             | 0                     |
| 40s          | F      | 1               | Post-Graduate | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 2                      | 2                     | 1803         | 0                   | 1803            | 1979            | 37             | 0                     |
| 50s          | F      | 1               | Uneducated    | Divorced | Unknown         | Blue          | 4 - 5         | 3                        | 5                      | 3                     | 3266         | 859                 | 2407            | 2151            | 46             | 0,26                  |
| 50s          | M      | 1               | Graduate      | Divorced | $60K - $80K     | Blue          | 3 - 4         | 3                        | 4                      | 3                     | 7050         | 1008                | 6042            | 2176            | 39             | 0,14                  |
| 30s          | F      | 0               | Unknown       | Married  | $40K - $60K     | Silver        | 2 - 3         | 3                        | 0                      | 3                     | 15142        | 0                   | 15142           | 2458            | 41             | 0                     |
| 40s          | M      | 4               | Post-Graduate | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 4                      | 3                     | 20178        | 1553                | 18625           | 1735            | 44             | 0,08                  |
| 40s          | F      | 3               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 1561         | 0                   | 1561            | 1947            | 28             | 0                     |
| 50s          | M      | 1               | Graduate      | Single   | $120K +         | Blue          | 2 - 3         | 2                        | 3                      | 4                     | 28618        | 0                   | 28618           | 1712            | 41             | 0                     |
| 40s          | M      | 1               | Graduate      | Single   | $120K +         | Blue          | 2 - 3         | 3                        | 4                      | 3                     | 8136         | 2517                | 5619            | 2179            | 40             | 0,31                  |
| 40s          | F      | 2               | Graduate      | Single   | Unknown         | Blue          | 3 - 4         | 6                        | 2                      | 3                     | 3120         | 2517                | 603             | 2468            | 43             | 0,81                  |
| 40s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 2892         | 2517                | 375             | 2257            | 48             | 0,87                  |
| 40s          | M      | 2               | Doctorate     | Married  | $80K - $120K    | Blue          | 2 - 3         | 1                        | 2                      | 5                     | 17667        | 0                   | 17667           | 1775            | 42             | 0                     |
| 40s          | M      | 4               | Uneducated    | Single   | $120K +         | Blue          | 3 - 4         | 3                        | 2                      | 6                     | 34516        | 1126                | 33390           | 1736            | 35             | 0,03                  |
| 40s          | M      | 1               | College       | Divorced | $80K - $120K    | Silver        | 3 - 4         | 2                        | 3                      | 2                     | 34516        | 2361                | 32155           | 1853            | 36             | 0,07                  |
| 40s          | M      | 4               | College       | Married  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 25190        | 0                   | 25190           | 1533            | 41             | 0                     |
| 40s          | F      | 3               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 1606         | 1578                | 28              | 2418            | 44             | 0,98                  |
| 50s          | F      | 4               | Graduate      | Single   | Less than $40K  | Silver        | 2 - 3         | 3                        | 2                      | 3                     | 13626        | 0                   | 13626           | 1711            | 30             | 0                     |
| 40s          | M      | 3               | Uneducated    | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 4                     | 8580         | 1636                | 6944            | 1880            | 37             | 0,19                  |
| 50s          | M      | 2               | Graduate      | Single   | $60K - $80K     | Silver        | 3 - 4         | 2                        | 3                      | 2                     | 30540        | 0                   | 30540           | 1980            | 36             | 0                     |
| 40s          | M      | 2               | High School   | Divorced | $80K - $120K    | Blue          | 2 - 3         | 4                        | 2                      | 4                     | 34516        | 2517                | 31999           | 1789            | 48             | 0,07                  |
| 30s          | F      | 4               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 2                      | 2                     | 4391         | 1933                | 2458            | 1849            | 36             | 0,44                  |
| 40s          | M      | 4               | High School   | Single   | $120K +         | Blue          | 3 - 4         | 3                        | 4                      | 4                     | 24593        | 0                   | 24593           | 2084            | 31             | 0                     |
| 40s          | M      | 4               | Unknown       | Married  | $120K +         | Blue          | 2 - 3         | 1                        | 4                      | 3                     | 26107        | 0                   | 26107           | 1697            | 47             | 0                     |
| 50s          | F      | 1               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 2                      | 4                     | 4287         | 0                   | 4287            | 1635            | 41             | 0                     |
| 50s          | F      | 3               | College       | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 8960         | 2222                | 6738            | 1853            | 40             | 0,25                  |
| 50s          | M      | 3               | High School   | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 8989         | 0                   | 8989            | 2031            | 53             | 0                     |
| 60s          | F      | 0               | College       | Single   | Less than $40K  | Silver        | 4 - 5         | 3                        | 4                      | 3                     | 10885        | 1758                | 9127            | 2291            | 39             | 0,16                  |
| 40s          | M      | 3               | College       | Married  | $80K - $120K    | Blue          | 2 - 3         | 6                        | 2                      | 3                     | 1438         | 864                 | 574             | 2299            | 40             | 0,6                   |
| 50s          | F      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 1                      | 4                     | 7191         | 0                   | 7191            | 1654            | 30             | 0                     |
| 30s          | F      | 2               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 0                     | 1610         | 0                   | 1610            | 2729            | 45             | 0                     |
| 30s          | M      | 3               | College       | Single   | $40K - $60K     | Blue          | 1 - 2         | 1                        | 2                      | 4                     | 3458         | 321                 | 3137            | 2256            | 40             | 0,09                  |
| 60s          | F      | 0               | Uneducated    | Single   | Less than $40K  | Blue          | 4 - 5         | 3                        | 4                      | 4                     | 1697         | 377                 | 1320            | 2799            | 49             | 0,22                  |
| 40s          | M      | 2               | College       | Single   | $80K - $120K    | Blue          | 3 - 4         | 2                        | 3                      | 2                     | 10309        | 0                   | 10309           | 1760            | 40             | 0                     |
| 40s          | M      | 5               | High School   | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 7897         | 157                 | 7740            | 2270            | 46             | 0,02                  |
| 50s          | F      | 2               | Uneducated    | Married  | $40K - $60K     | Blue          | 2 - 3         | 1                        | 3                      | 1                     | 1438         | 458                 | 980             | 1863            | 42             | 0,32                  |
| 40s          | F      | 4               | Uneducated    | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 1438         | 0                   | 1438            | 1517            | 38             | 0                     |
| 50s          | F      | 2               | Unknown       | Married  | Unknown         | Blue          | 3 - 4         | 3                        | 2                      | 1                     | 1773         | 0                   | 1773            | 1764            | 30             | 0                     |
| 40s          | M      | 2               | High School   | Married  | $80K - $120K    | Blue          | 2 - 3         | 1                        | 2                      | 4                     | 16362        | 2268                | 14094           | 2228            | 37             | 0,14                  |
| 40s          | M      | 5               | High School   | Single   | $80K - $120K    | Blue          | 3 - 4         | 3                        | 4                      | 4                     | 18800        | 2517                | 16283           | 1575            | 23             | 0,13                  |
| 40s          | F      | 3               | Uneducated    | Married  | Less than $40K  | Blue          | 2 - 3         | 1                        | 3                      | 4                     | 4579         | 1506                | 3073            | 1915            | 44             | 0,33                  |
| 50s          | M      | 1               | Uneducated    | Single   | $40K - $60K     | Silver        | 4 - 5         | 3                        | 2                      | 2                     | 15809        | 0                   | 15809           | 3109            | 48             | 0                     |
| 50s          | F      | 3               | Graduate      | Single   | $40K - $60K     | Blue          | 3 - 4         | 6                        | 3                      | 2                     | 1625         | 0                   | 1625            | 2314            | 43             | 0                     |
| 50s          | F      | 2               | Graduate      | Single   | $40K - $60K     | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 2121         | 0                   | 2121            | 1464            | 32             | 0                     |
| 40s          | F      | 3               | Doctorate     | Single   | Less than $40K  | Blue          | 1 - 2         | 5                        | 3                      | 4                     | 8668         | 0                   | 8668            | 1402            | 38             | 0                     |
| 40s          | F      | 3               | Doctorate     | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 4                      | 2                     | 7066         | 0                   | 7066            | 1695            | 38             | 0                     |
| 50s          | F      | 2               | Post-Graduate | Married  | $40K - $60K     | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 5527         | 1120                | 4407            | 2281            | 37             | 0,2                   |
| 50s          | F      | 1               | College       | Married  | Unknown         | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 1461         | 0                   | 1461            | 2176            | 40             | 0                     |
| 50s          | M      | 3               | Uneducated    | Unknown  | $120K +         | Blue          | 3 - 4         | 2                        | 4                      | 4                     | 13354        | 0                   | 13354           | 1097            | 28             | 0                     |
| 40s          | M      | 1               | Graduate      | Single   | $120K +         | Blue          | 2 - 3         | 6                        | 2                      | 4                     | 26723        | 0                   | 26723           | 2138            | 43             | 0                     |
| 40s          | F      | 3               | High School   | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 2                      | 6                     | 3512         | 2517                | 995             | 1801            | 48             | 0,72                  |
| 40s          | F      | 4               | College       | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 2263         | 0                   | 2263            | 2385            | 33             | 0                     |
| 50s          | M      | 4               | Graduate      | Married  | $60K - $80K     | Blue          | 2 - 3         | 4                        | 1                      | 3                     | 9375         | 1625                | 7750            | 2108            | 51             | 0,17                  |
| 40s          | F      | 2               | Unknown       | Divorced | Less than $40K  | Blue          | 2 - 3         | 3                        | 1                      | 4                     | 2806         | 2514                | 292             | 1757            | 35             | 0,9                   |
| 40s          | F      | 2               | High School   | Divorced | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 2                     | 1478         | 524                 | 954             | 2180            | 46             | 0,35                  |
| 40s          | M      | 4               | Unknown       | Divorced | $80K - $120K    | Blue          | 2 - 3         | 6                        | 1                      | 3                     | 8757         | 0                   | 8757            | 2108            | 47             | 0                     |
| 50s          | F      | 1               | Graduate      | Single   | $40K - $60K     | Blue          | 3 - 4         | 2                        | 4                      | 3                     | 2339         | 0                   | 2339            | 1542            | 45             | 0                     |
| 50s          | F      | 4               | Graduate      | Single   | Unknown         | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 2509         | 0                   | 2509            | 2281            | 41             | 0                     |
| 40s          | M      | 3               | Graduate      | Married  | $60K - $80K     | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 5298         | 0                   | 5298            | 2431            | 37             | 0                     |
| 50s          | F      | 3               | Uneducated    | Single   | Less than $40K  | Blue          | 4 - 5         | 3                        | 0                      | 3                     | 1438         | 0                   | 1438            | 2113            | 38             | 0                     |
| 50s          | M      | 3               | Graduate      | Single   | $40K - $60K     | Blue          | 3 - 4         | 6                        | 3                      | 3                     | 5501         | 0                   | 5501            | 2050            | 51             | 0                     |
| 40s          | M      | 2               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 2                        | 2                      | 2                     | 5054         | 2517                | 2537            | 2027            | 39             | 0,5                   |
| 60s          | F      | 1               | High School   | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 4                     | 1930         | 0                   | 1930            | 1971            | 45             | 0                     |
| 50s          | M      | 3               | Graduate      | Single   | $40K - $60K     | Silver        | 3 - 4         | 2                        | 3                      | 1                     | 18128        | 0                   | 18128           | 2503            | 49             | 0                     |
| 40s          | F      | 2               | Unknown       | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 2516         | 0                   | 2516            | 2257            | 51             | 0                     |
| 50s          | F      | 3               | High School   | Single   | $40K - $60K     | Blue          | 3 - 4         | 1                        | 3                      | 4                     | 1714         | 0                   | 1714            | 2279            | 46             | 0                     |
| 40s          | F      | 4               | Graduate      | Divorced | Less than $40K  | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 5798         | 2517                | 3281            | 1860            | 43             | 0,43                  |
| 40s          | F      | 4               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 4                     | 2184         | 0                   | 2184            | 1973            | 42             | 0                     |
| 50s          | M      | 2               | College       | Single   | $80K - $120K    | Blue          | 3 - 4         | 5                        | 2                      | 4                     | 3495         | 0                   | 3495            | 2131            | 41             | 0                     |
| 50s          | F      | 3               | High School   | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 8018         | 134                 | 7884            | 2409            | 38             | 0,02                  |
| 40s          | M      | 3               | Unknown       | Married  | $80K - $120K    | Blue          | 1 - 2         | 3                        | 3                      | 4                     | 20543        | 0                   | 20543           | 1874            | 42             | 0                     |
| 40s          | M      | 3               | Uneducated    | Unknown  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 4                      | 4                     | 18075        | 0                   | 18075           | 1477            | 30             | 0                     |
| 50s          | M      | 0               | High School   | Single   | $120K +         | Silver        | 3 - 4         | 2                        | 4                      | 4                     | 34516        | 2297                | 32219           | 1461            | 43             | 0,07                  |
| 50s          | M      | 3               | Uneducated    | Married  | $60K - $80K     | Blue          | 3 - 4         | 2                        | 2                      | 5                     | 21096        | 0                   | 21096           | 1882            | 39             | 0                     |
| 50s          | F      | 1               | High School   | Single   | Unknown         | Blue          | 3 - 4         | 5                        | 0                      | 4                     | 10057        | 0                   | 10057           | 2383            | 42             | 0                     |
| 60s          | M      | 0               | Graduate      | Single   | Less than $40K  | Blue          | 4 - 5         | 2                        | 3                      | 5                     | 3570         | 2517                | 1053            | 3289            | 47             | 0,7                   |
| 40s          | M      | 2               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 34516        | 0                   | 34516           | 2427            | 51             | 0                     |
| 40s          | F      | 4               | Doctorate     | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 6                     | 15195        | 0                   | 15195           | 2631            | 41             | 0                     |
| 30s          | F      | 1               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 4                     | 1438         | 0                   | 1438            | 2139            | 47             | 0                     |
| 40s          | F      | 3               | Graduate      | Unknown  | Unknown         | Blue          | 2 - 3         | 1                        | 3                      | 4                     | 3443         | 0                   | 3443            | 2505            | 45             | 0                     |
| 50s          | F      | 2               | Post-Graduate | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 4281         | 0                   | 4281            | 1723            | 44             | 0                     |
| 40s          | M      | 1               | Graduate      | Single   | $60K - $80K     | Blue          | 3 - 4         | 2                        | 3                      | 4                     | 2445         | 848                 | 1597            | 2216            | 39             | 0,35                  |
| 40s          | M      | 4               | Unknown       | Married  | $40K - $60K     | Blue          | 2 - 3         | 2                        | 3                      | 5                     | 1606         | 0                   | 1606            | 2628            | 41             | 0                     |
| 50s          | F      | 1               | Uneducated    | Single   | Less than $40K  | Blue          | 4 - 5         | 3                        | 4                      | 3                     | 3292         | 0                   | 3292            | 2222            | 54             | 0                     |
| 50s          | F      | 1               | College       | Unknown  | Less than $40K  | Silver        | 3 - 4         | 6                        | 3                      | 4                     | 10797        | 1252                | 9545            | 1739            | 38             | 0,12                  |
| 40s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 6                        | 3                      | 3                     | 5848         | 2517                | 3331            | 2000            | 32             | 0,43                  |
| 40s          | M      | 3               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 2                        | 4                      | 1                     | 13883        | 783                 | 13100           | 1871            | 32             | 0,06                  |
| 40s          | F      | 2               | Uneducated    | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 13019        | 0                   | 13019           | 1484            | 33             | 0                     |
| 50s          | F      | 1               | College       | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 3339         | 0                   | 3339            | 2432            | 48             | 0                     |
| 20s          | F      | 1               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 5                     | 1624         | 0                   | 1624            | 1897            | 35             | 0                     |
| 50s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 1746         | 1107                | 639             | 1907            | 47             | 0,63                  |
| 40s          | M      | 4               | Uneducated    | Single   | $80K - $120K    | Silver        | 3 - 4         | 2                        | 3                      | 4                     | 34516        | 0                   | 34516           | 1626            | 28             | 0                     |
| 40s          | F      | 4               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 4                     | 2858         | 0                   | 2858            | 2611            | 43             | 0                     |
| 40s          | M      | 3               | Doctorate     | Divorced | $80K - $120K    | Blue          | 3 - 4         | 6                        | 3                      | 3                     | 8258         | 1771                | 6487            | 1447            | 23             | 0,21                  |
| 50s          | M      | 3               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 1                        | 2                      | 3                     | 3841         | 2517                | 1324            | 2680            | 51             | 0,66                  |
| 50s          | F      | 2               | Doctorate     | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 2                      | 4                     | 1822         | 1605                | 217             | 2538            | 39             | 0,88                  |
| 40s          | F      | 4               | High School   | Divorced | $40K - $60K     | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 4650         | 204                 | 4446            | 2014            | 54             | 0,04                  |
| 40s          | F      | 4               | High School   | Married  | Less than $40K  | Blue          | 3 - 4         | 1                        | 2                      | 3                     | 3607         | 0                   | 3607            | 2013            | 35             | 0                     |
| 40s          | M      | 3               | Graduate      | Single   | $80K - $120K    | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 19402        | 0                   | 19402           | 1937            | 51             | 0                     |
| 40s          | F      | 3               | Graduate      | Unknown  | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 1438         | 0                   | 1438            | 2054            | 46             | 0                     |
| 30s          | F      | 3               | Uneducated    | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 2435         | 2432                | 3               | 1460            | 32             | 1                     |
| 40s          | F      | 3               | College       | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 1603         | 749                 | 854             | 2644            | 43             | 0,47                  |
| 50s          | F      | 2               | Uneducated    | Single   | Unknown         | Blue          | 3 - 4         | 2                        | 3                      | 2                     | 2751         | 2253                | 498             | 2108            | 40             | 0,82                  |
| 50s          | F      | 1               | High School   | Single   | Less than $40K  | Blue          | 2 - 3         | 4                        | 2                      | 5                     | 1457         | 0                   | 1457            | 1441            | 39             | 0                     |
| 40s          | F      | 0               | Doctorate     | Unknown  | Less than $40K  | Blue          | 3 - 4         | 5                        | 2                      | 3                     | 1749         | 0                   | 1749            | 2510            | 38             | 0                     |
| 40s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 5911         | 916                 | 4995            | 1656            | 31             | 0,15                  |
| 40s          | M      | 5               | Uneducated    | Unknown  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 1960         | 0                   | 1960            | 2253            | 39             | 0                     |
| 40s          | M      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 3 - 4         | 6                        | 3                      | 3                     | 4738         | 0                   | 4738            | 1900            | 36             | 0                     |
| 40s          | F      | 3               | High School   | Single   | Unknown         | Silver        | 2 - 3         | 4                        | 2                      | 3                     | 34516        | 154                 | 34362           | 1987            | 46             | 0                     |
| 40s          | M      | 2               | College       | Divorced | $120K +         | Blue          | 3 - 4         | 4                        | 1                      | 2                     | 34516        | 0                   | 34516           | 1370            | 38             | 0                     |
| 50s          | F      | 2               | Graduate      | Married  | Unknown         | Blue          | 3 - 4         | 2                        | 3                      | 3                     | 3781         | 1692                | 2089            | 2310            | 43             | 0,45                  |
| 40s          | M      | 3               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 3                        | 2                      | 1                     | 3261         | 0                   | 3261            | 3081            | 50             | 0                     |
| 60s          | F      | 0               | High School   | Unknown  | Less than $40K  | Blue          | 4 - 5         | 4                        | 2                      | 3                     | 5210         | 0                   | 5210            | 2162            | 36             | 0                     |
| 40s          | M      | 3               | Post-Graduate | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 13382        | 1159                | 12223           | 1828            | 45             | 0,09                  |
| 60s          | M      | 0               | Graduate      | Single   | Unknown         | Blue          | 4 - 5         | 5                        | 0                      | 2                     | 18550        | 0                   | 18550           | 2616            | 42             | 0                     |
| 30s          | M      | 3               | Uneducated    | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 2                      | 4                     | 1696         | 0                   | 1696            | 2095            | 43             | 0                     |
| 50s          | M      | 2               | High School   | Married  | $60K - $80K     | Blue          | 3 - 4         | 5                        | 3                      | 2                     | 4123         | 1760                | 2363            | 2447            | 40             | 0,43                  |
| 50s          | F      | 0               | Graduate      | Single   | Less than $40K  | Blue          | 3 - 4         | 4                        | 3                      | 3                     | 3023         | 2517                | 506             | 2477            | 42             | 0,83                  |
| 50s          | F      | 2               | High School   | Married  | Unknown         | Blue          | 4 - 5         | 3                        | 3                      | 3                     | 3875         | 1397                | 2478            | 2312            | 49             | 0,36                  |
| 40s          | M      | 2               | Doctorate     | Single   | $40K - $60K     | Blue          | 3 - 4         | 6                        | 3                      | 2                     | 2760         | 0                   | 2760            | 1759            | 34             | 0                     |
| 40s          | M      | 3               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 25256        | 966                 | 24290           | 2048            | 40             | 0,04                  |
| 40s          | F      | 3               | Graduate      | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 1                     | 1630         | 1243                | 387             | 1884            | 43             | 0,76                  |
| 30s          | F      | 1               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 1                     | 1876         | 1536                | 340             | 2579            | 47             | 0,82                  |
| 40s          | M      | 5               | Unknown       | Married  | $60K - $80K     | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 4963         | 0                   | 4963            | 2335            | 40             | 0                     |
| 50s          | F      | 1               | Graduate      | Married  | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 2468         | 0                   | 2468            | 2017            | 37             | 0                     |
| 40s          | F      | 3               | Graduate      | Divorced | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 1438         | 0                   | 1438            | 1849            | 43             | 0                     |
| 50s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 1                        | 4                      | 3                     | 2016         | 395                 | 1621            | 2473            | 44             | 0,2                   |
| 50s          | M      | 2               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 1                        | 2                      | 2                     | 1438         | 0                   | 1438            | 2123            | 37             | 0                     |
| 50s          | M      | 3               | College       | Unknown  | $80K - $120K    | Blue          | 3 - 4         | 1                        | 3                      | 2                     | 27186        | 0                   | 27186           | 1704            | 34             | 0                     |
| 50s          | F      | 2               | Graduate      | Unknown  | Less than $40K  | Blue          | 2 - 3         | 5                        | 2                      | 2                     | 1438         | 0                   | 1438            | 2329            | 43             | 0                     |
| 30s          | F      | 3               | Unknown       | Single   | Unknown         | Blue          | 1 - 2         | 2                        | 3                      | 2                     | 2054         | 0                   | 2054            | 2567            | 43             | 0                     |
| 40s          | M      | 2               | High School   | Married  | $120K +         | Blue          | 2 - 3         | 6                        | 2                      | 4                     | 34516        | 1477                | 33039           | 1868            | 40             | 0,04                  |
| 50s          | M      | 4               | High School   | Married  | $60K - $80K     | Blue          | 3 - 4         | 6                        | 2                      | 6                     | 4535         | 0                   | 4535            | 2342            | 40             | 0                     |
| 30s          | M      | 1               | Unknown       | Single   | $40K - $60K     | Blue          | 2 - 3         | 3                        | 3                      | 4                     | 2088         | 975                 | 1113            | 2866            | 59             | 0,47                  |
| 40s          | F      | 3               | Post-Graduate | Married  | Less than $40K  | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 1914         | 0                   | 1914            | 2687            | 41             | 0                     |
| 40s          | F      | 4               | Unknown       | Married  | Less than $40K  | Blue          | 1 - 2         | 6                        | 2                      | 3                     | 1679         | 951                 | 728             | 2492            | 43             | 0,57                  |
| 50s          | F      | 4               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 1722         | 0                   | 1722            | 2141            | 35             | 0                     |
| 40s          | M      | 4               | College       | Single   | $40K - $60K     | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 10543        | 0                   | 10543           | 1841            | 39             | 0                     |
| 40s          | F      | 4               | College       | Married  | $40K - $60K     | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 4139         | 0                   | 4139            | 2232            | 41             | 0                     |
| 30s          | M      | 2               | Unknown       | Single   | $60K - $80K     | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 12871        | 0                   | 12871           | 2413            | 53             | 0                     |
| 50s          | F      | 3               | Unknown       | Single   | Less than $40K  | Blue          | 4 - 5         | 1                        | 3                      | 5                     | 1551         | 790                 | 761             | 2379            | 46             | 0,51                  |
| 40s          | M      | 4               | Unknown       | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 6743         | 1737                | 5006            | 1934            | 30             | 0,26                  |
| 40s          | M      | 4               | Unknown       | Single   | $80K - $120K    | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 32838        | 1717                | 31121           | 2538            | 42             | 0,05                  |
| 40s          | F      | 3               | Doctorate     | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 1438         | 0                   | 1438            | 1693            | 37             | 0                     |
